Order_ID,Vendor_ID,Product_Category,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Status,Quantity,Price_Per_Unit,Region,Revenue,Month_Name,Lead_Time,Delivery_Delay,Non_Delivered,Late,On_Time,Early,Delivered_Qty,,,
ORD-0001,VND-007,Furniture,01/01/2025,10/01/2025,,Cancelled,2,9500,Central,19000,January,,,1,0,0,0,0,,,
ORD-0002,VND-004,Apparel,01/01/2025,09/01/2025,,Cancelled,18,75,International,1350,January,,,1,0,0,0,0,,,
ORD-0003,VND-013,Office Supplies,01/01/2025,07/01/2025,08/01/2025,Delivered,55,12,South,660,January,7,1,0,1,0,0,55,,,
ORD-0004,VND-015,Apparel,01/01/2025,09/01/2025,,In Transit,48,75,South,3600,January,,,1,0,0,0,0,,,
ORD-0005,VND-011,Office Supplies,01/01/2025,05/01/2025,05/01/2025,Delivered,71,18,West,1278,January,4,0,0,0,1,0,71,,,
ORD-0006,VND-008,Furniture,01/01/2025,07/01/2025,10/01/2025,Delivered,1,12000,East,12000,January,9,3,0,1,0,0,1,,,
ORD-0007,VND-013,Apparel,01/01/2025,10/01/2025,12/01/2025,Delivered,50,110,West,5500,January,11,2,0,1,0,0,50,,,
ORD-0008,VND-005,Electronics,01/01/2025,05/01/2025,05/01/2025,Delivered,2,8500,Central,17000,January,4,0,0,0,1,0,2,,,
ORD-0009,VND-007,Apparel,01/01/2025,09/01/2025,,In Transit,11,195,International,2145,January,,,1,0,0,0,0,,,
ORD-0010,VND-010,Furniture,01/01/2025,07/01/2025,10/01/2025,Delivered,1,3800,North,3800,January,9,3,0,1,0,0,1,,,
ORD-0011,VND-003,Electronics,01/01/2025,05/01/2025,03/01/2025,Delivered,6,1200,West,7200,January,2,-2,0,0,0,1,6,,,
ORD-0012,VND-007,Electronics,01/01/2025,06/01/2025,,Cancelled,8,3000,East,24000,January,,,1,0,0,0,0,,,
ORD-0013,VND-011,Office Supplies,01/01/2025,09/01/2025,12/01/2025,Delivered,22,18,West,396,January,11,3,0,1,0,0,22,,,
ORD-0014,VND-011,Electronics,01/01/2025,10/01/2025,,Cancelled,2,7200,South,14400,January,,,1,0,0,0,0,,,
ORD-0015,VND-008,Electronics,02/01/2025,11/01/2025,,Cancelled,7,8500,Central,59500,January,,,1,0,0,0,0,,,
ORD-0016,VND-005,Apparel,02/01/2025,09/01/2025,09/01/2025,Delivered,44,250,Central,11000,January,7,0,0,0,1,0,44,,,
ORD-0017,VND-004,Furniture,02/01/2025,06/01/2025,06/01/2025,Delivered,2,4500,Central,9000,January,4,0,0,0,1,0,2,,,
ORD-0018,VND-008,Office Supplies,02/01/2025,08/01/2025,09/01/2025,Delivered,41,500,Central,20500,January,7,1,0,1,0,0,41,,,
ORD-0019,VND-008,Apparel,02/01/2025,06/01/2025,05/01/2025,Delivered,31,320,Central,9920,January,3,-1,0,0,0,1,31,,,
ORD-0020,VND-003,Electronics,02/01/2025,11/01/2025,13/01/2025,Delivered,6,5000,Central,30000,January,11,2,0,1,0,0,6,,,
ORD-0021,VND-006,Electronics,02/01/2025,08/01/2025,09/01/2025,Delivered,6,1200,North,7200,January,7,1,0,1,0,0,6,,,
ORD-0022,VND-005,Office Supplies,02/01/2025,09/01/2025,,Cancelled,43,18,East,774,January,,,1,0,0,0,0,,,
ORD-0023,VND-002,Furniture,02/01/2025,10/01/2025,12/01/2025,Delivered,3,7000,Central,21000,January,10,2,0,1,0,0,3,,,
ORD-0024,VND-008,Office Supplies,02/01/2025,06/01/2025,06/01/2025,Delivered,28,40,East,1120,January,4,0,0,0,1,0,28,,,
ORD-0025,VND-012,Apparel,02/01/2025,08/01/2025,10/01/2025,Delivered,34,195,International,6630,January,8,2,0,1,0,0,34,,,
ORD-0026,VND-014,Office Supplies,03/01/2025,12/01/2025,11/01/2025,Delivered,102,95,Central,9690,January,8,-1,0,0,0,1,102,,,
ORD-0027,VND-006,Electronics,03/01/2025,09/01/2025,,Cancelled,2,7200,West,14400,January,,,1,0,0,0,0,,,
ORD-0028,VND-002,Apparel,03/01/2025,10/01/2025,13/01/2025,Delivered,23,195,Central,4485,January,10,3,0,1,0,0,23,,,
ORD-0029,VND-012,Electronics,03/01/2025,11/01/2025,11/01/2025,Delivered,10,45000,South,450000,January,8,0,0,0,1,0,10,,,
ORD-0030,VND-005,Furniture,03/01/2025,07/01/2025,09/01/2025,Delivered,3,6500,North,19500,January,6,2,0,1,0,0,3,,,
ORD-0031,VND-001,Electronics,03/01/2025,10/01/2025,08/01/2025,Delivered,10,3100,West,31000,January,5,-2,0,0,0,1,10,,,
ORD-0032,VND-012,Electronics,03/01/2025,11/01/2025,13/01/2025,Delivered,10,8500,West,85000,January,10,2,0,1,0,0,10,,,
ORD-0033,VND-010,Office Supplies,03/01/2025,09/01/2025,07/01/2025,Delivered,46,22,South,1012,January,4,-2,0,0,0,1,46,,,
ORD-0034,VND-006,Electronics,03/01/2025,11/01/2025,14/01/2025,Delivered,3,13500,Central,40500,January,11,3,0,1,0,0,3,,,
ORD-0035,VND-013,Apparel,03/01/2025,10/01/2025,,Cancelled,40,75,North,3000,January,,,1,0,0,0,0,,,
ORD-0036,VND-012,Apparel,03/01/2025,07/01/2025,,Cancelled,23,320,West,7360,January,,,1,0,0,0,0,,,
ORD-0037,VND-009,Furniture,03/01/2025,12/01/2025,12/01/2025,Delivered,2,15000,North,30000,January,9,0,0,0,1,0,2,,,
ORD-0038,VND-001,Apparel,03/01/2025,08/01/2025,,In Transit,40,195,West,7800,January,,,1,0,0,0,0,,,
ORD-0039,VND-011,Office Supplies,04/01/2025,12/01/2025,11/01/2025,Delivered,99,80,Central,7920,January,7,-1,0,0,0,1,99,,,
ORD-0040,VND-011,Furniture,04/01/2025,12/01/2025,15/01/2025,Delivered,1,12000,International,12000,January,11,3,0,1,0,0,1,,,
ORD-0041,VND-015,Apparel,04/01/2025,10/01/2025,10/01/2025,Delivered,34,110,West,3740,January,6,0,0,0,1,0,34,,,
ORD-0042,VND-010,Office Supplies,04/01/2025,10/01/2025,10/01/2025,Delivered,88,15,International,1320,January,6,0,0,0,1,0,88,,,
ORD-0043,VND-012,Apparel,04/01/2025,08/01/2025,06/01/2025,Delivered,47,110,West,5170,January,2,-2,0,0,0,1,47,,,
ORD-0044,VND-012,Apparel,04/01/2025,12/01/2025,10/01/2025,Delivered,26,140,East,3640,January,6,-2,0,0,0,1,26,,,
ORD-0045,VND-015,Electronics,04/01/2025,12/01/2025,10/01/2025,Delivered,2,13500,Central,27000,January,6,-2,0,0,0,1,2,,,
ORD-0046,VND-014,Apparel,04/01/2025,08/01/2025,,In Transit,10,60,South,600,January,,,1,0,0,0,0,,,
ORD-0047,VND-014,Apparel,04/01/2025,08/01/2025,09/01/2025,Delivered,20,60,International,1200,January,5,1,0,1,0,0,20,,,
ORD-0048,VND-015,Office Supplies,04/01/2025,10/01/2025,11/01/2025,Delivered,8,50,South,400,January,7,1,0,1,0,0,8,,,
ORD-0049,VND-014,Office Supplies,04/01/2025,08/01/2025,,Cancelled,37,80,Central,2960,January,,,1,0,0,0,0,,,
ORD-0050,VND-003,Electronics,04/01/2025,08/01/2025,09/01/2025,Delivered,4,3000,South,12000,January,5,1,0,1,0,0,4,,,
ORD-0051,VND-012,Apparel,04/01/2025,13/01/2025,15/01/2025,Delivered,52,140,Central,7280,January,11,2,0,1,0,0,52,,,
ORD-0052,VND-007,Electronics,04/01/2025,10/01/2025,,In Transit,1,1800,South,1800,January,,,1,0,0,0,0,,,
ORD-0053,VND-004,Apparel,04/01/2025,12/01/2025,15/01/2025,Delivered,50,75,International,3750,January,11,3,0,1,0,0,50,,,
ORD-0054,VND-009,Furniture,05/01/2025,11/01/2025,10/01/2025,Delivered,2,14000,East,28000,January,5,-1,0,0,0,1,2,,,
ORD-0055,VND-003,Furniture,05/01/2025,11/01/2025,13/01/2025,Delivered,1,3800,South,3800,January,8,2,0,1,0,0,1,,,
ORD-0056,VND-005,Electronics,05/01/2025,11/01/2025,,In Transit,2,1100,International,2200,January,,,1,0,0,0,0,,,
ORD-0057,VND-003,Electronics,05/01/2025,10/01/2025,09/01/2025,Delivered,6,8500,West,51000,January,4,-1,0,0,0,1,6,,,
ORD-0058,VND-007,Electronics,05/01/2025,09/01/2025,,In Transit,7,3000,Central,21000,January,,,1,0,0,0,0,,,
ORD-0059,VND-005,Office Supplies,05/01/2025,10/01/2025,11/01/2025,Delivered,39,150,North,5850,January,6,1,0,1,0,0,39,,,
ORD-0060,VND-009,Office Supplies,05/01/2025,13/01/2025,14/01/2025,Delivered,90,150,North,13500,January,9,1,0,1,0,0,90,,,
ORD-0061,VND-007,Office Supplies,05/01/2025,14/01/2025,,In Transit,35,45,Central,1575,January,,,1,0,0,0,0,,,
ORD-0062,VND-002,Electronics,05/01/2025,12/01/2025,14/01/2025,Delivered,10,2400,East,24000,January,9,2,0,1,0,0,10,,,
ORD-0063,VND-004,Apparel,05/01/2025,14/01/2025,15/01/2025,Delivered,29,110,South,3190,January,10,1,0,1,0,0,29,,,
ORD-0064,VND-009,Furniture,05/01/2025,12/01/2025,15/01/2025,Delivered,2,9500,East,19000,January,10,3,0,1,0,0,2,,,
ORD-0065,VND-012,Electronics,05/01/2025,12/01/2025,,In Transit,5,13500,North,67500,January,,,1,0,0,0,0,,,
ORD-0066,VND-014,Office Supplies,05/01/2025,10/01/2025,12/01/2025,Delivered,82,40,International,3280,January,7,2,0,1,0,0,82,,,
ORD-0067,VND-002,Office Supplies,05/01/2025,13/01/2025,15/01/2025,Delivered,78,12,Central,936,January,10,2,0,1,0,0,78,,,
ORD-0068,VND-010,Electronics,05/01/2025,12/01/2025,11/01/2025,Delivered,2,5000,Central,10000,January,6,-1,0,0,0,1,2,,,
ORD-0069,VND-009,Electronics,06/01/2025,14/01/2025,,Cancelled,8,2400,East,19200,January,,,1,0,0,0,0,,,
ORD-0070,VND-010,Office Supplies,06/01/2025,12/01/2025,14/01/2025,Delivered,45,95,International,4275,January,8,2,0,1,0,0,45,,,
ORD-0071,VND-005,Apparel,06/01/2025,10/01/2025,10/01/2025,Delivered,48,220,East,10560,January,4,0,0,0,1,0,48,,,
ORD-0072,VND-002,Office Supplies,06/01/2025,14/01/2025,15/01/2025,Delivered,23,18,South,414,January,9,1,0,1,0,0,23,,,
ORD-0073,VND-004,Office Supplies,06/01/2025,14/01/2025,13/01/2025,Delivered,34,18,West,612,January,7,-1,0,0,0,1,34,,,
ORD-0074,VND-012,Electronics,06/01/2025,11/01/2025,13/01/2025,Delivered,7,45000,International,315000,January,7,2,0,1,0,0,7,,,
ORD-0075,VND-015,Apparel,06/01/2025,13/01/2025,14/01/2025,Delivered,16,250,West,4000,January,8,1,0,1,0,0,16,,,
ORD-0076,VND-012,Office Supplies,06/01/2025,13/01/2025,15/01/2025,Delivered,47,18,South,846,January,9,2,0,1,0,0,47,,,
ORD-0077,VND-007,Office Supplies,06/01/2025,14/01/2025,,In Transit,9,150,West,1350,January,,,1,0,0,0,0,,,
ORD-0078,VND-012,Furniture,06/01/2025,10/01/2025,,In Transit,2,7000,North,14000,January,,,1,0,0,0,0,,,
ORD-0079,VND-013,Electronics,07/01/2025,12/01/2025,12/01/2025,Delivered,8,1200,West,9600,January,5,0,0,0,1,0,8,,,
ORD-0080,VND-008,Furniture,07/01/2025,13/01/2025,,In Transit,2,4500,South,9000,January,,,1,0,0,0,0,,,
ORD-0081,VND-015,Furniture,07/01/2025,12/01/2025,15/01/2025,Delivered,2,3800,West,7600,January,8,3,0,1,0,0,2,,,
ORD-0082,VND-003,Office Supplies,07/01/2025,11/01/2025,,In Transit,27,15,Central,405,January,,,1,0,0,0,0,,,
ORD-0083,VND-014,Electronics,07/01/2025,12/01/2025,10/01/2025,Delivered,9,8500,East,76500,January,3,-2,0,0,0,1,9,,,
ORD-0084,VND-001,Apparel,07/01/2025,16/01/2025,14/01/2025,Delivered,52,250,North,13000,January,7,-2,0,0,0,1,52,,,
ORD-0085,VND-004,Office Supplies,07/01/2025,14/01/2025,,Cancelled,98,40,Central,3920,January,,,1,0,0,0,0,,,
ORD-0086,VND-002,Apparel,07/01/2025,12/01/2025,,In Transit,42,320,Central,13440,January,,,1,0,0,0,0,,,
ORD-0087,VND-008,Apparel,07/01/2025,13/01/2025,15/01/2025,Delivered,7,320,South,2240,January,8,2,0,1,0,0,7,,,
ORD-0088,VND-004,Electronics,07/01/2025,16/01/2025,19/01/2025,Delivered,7,1100,East,7700,January,12,3,0,1,0,0,7,,,
ORD-0089,VND-002,Furniture,07/01/2025,15/01/2025,14/01/2025,Delivered,1,7000,East,7000,January,7,-1,0,0,0,1,1,,,
ORD-0090,VND-014,Electronics,07/01/2025,15/01/2025,13/01/2025,Delivered,6,3100,International,18600,January,6,-2,0,0,0,1,6,,,
ORD-0091,VND-006,Apparel,07/01/2025,15/01/2025,13/01/2025,Delivered,15,75,North,1125,January,6,-2,0,0,0,1,15,,,
ORD-0092,VND-006,Office Supplies,07/01/2025,11/01/2025,11/01/2025,Delivered,11,350,South,3850,January,4,0,0,0,1,0,11,,,
ORD-0093,VND-010,Apparel,08/01/2025,16/01/2025,,In Transit,14,75,North,1050,January,,,1,0,0,0,0,,,
ORD-0094,VND-004,Office Supplies,08/01/2025,14/01/2025,16/01/2025,Delivered,100,30,International,3000,January,8,2,0,1,0,0,100,,,
ORD-0095,VND-006,Office Supplies,08/01/2025,12/01/2025,14/01/2025,Delivered,8,45,West,360,January,6,2,0,1,0,0,8,,,
ORD-0096,VND-013,Electronics,08/01/2025,17/01/2025,20/01/2025,Delivered,8,8500,Central,68000,January,12,3,0,1,0,0,8,,,
ORD-0097,VND-015,Apparel,08/01/2025,14/01/2025,15/01/2025,Delivered,42,45,North,1890,January,7,1,0,1,0,0,42,,,
ORD-0098,VND-002,Furniture,09/01/2025,18/01/2025,18/01/2025,Delivered,3,3800,Central,11400,January,9,0,0,0,1,0,3,,,
ORD-0099,VND-010,Apparel,09/01/2025,16/01/2025,15/01/2025,Delivered,19,110,South,2090,January,6,-1,0,0,0,1,19,,,
ORD-0100,VND-012,Apparel,09/01/2025,15/01/2025,,In Transit,7,60,West,420,January,,,1,0,0,0,0,,,
ORD-0101,VND-002,Furniture,09/01/2025,18/01/2025,,In Transit,3,15000,South,45000,January,,,1,0,0,0,0,,,
ORD-0102,VND-010,Electronics,09/01/2025,18/01/2025,20/01/2025,Delivered,8,1800,West,14400,January,11,2,0,1,0,0,8,,,
ORD-0103,VND-014,Apparel,09/01/2025,16/01/2025,19/01/2025,Delivered,54,110,West,5940,January,10,3,0,1,0,0,54,,,
ORD-0104,VND-004,Apparel,09/01/2025,17/01/2025,18/01/2025,Delivered,16,320,Central,5120,January,9,1,0,1,0,0,16,,,
ORD-0105,VND-014,Office Supplies,09/01/2025,15/01/2025,,In Transit,19,12,South,228,January,,,1,0,0,0,0,,,
ORD-0106,VND-015,Apparel,09/01/2025,15/01/2025,,In Transit,24,180,South,4320,January,,,1,0,0,0,0,,,
ORD-0107,VND-015,Furniture,09/01/2025,17/01/2025,17/01/2025,Delivered,1,8000,North,8000,January,8,0,0,0,1,0,1,,,
ORD-0108,VND-008,Office Supplies,09/01/2025,17/01/2025,15/01/2025,Delivered,67,22,South,1474,January,6,-2,0,0,0,1,67,,,
ORD-0109,VND-014,Electronics,09/01/2025,16/01/2025,,In Transit,6,5000,North,30000,January,,,1,0,0,0,0,,,
ORD-0110,VND-007,Office Supplies,09/01/2025,17/01/2025,18/01/2025,Delivered,112,12,East,1344,January,9,1,0,1,0,0,112,,,
ORD-0111,VND-012,Furniture,09/01/2025,13/01/2025,14/01/2025,Delivered,3,16500,East,49500,January,5,1,0,1,0,0,3,,,
